"SED_name","SED_state","dwellings","capacity","density","instals_Residential","instals_Commercial","instals_Power_Station","capacity_Residential","capacity_Commercial","capacity_Power_Station"
"Adelaide","SA","13227","54464","37.5","4963","647","7","25711","18653","10100"
"Albany (South West)","WA","19292","25254","24.7","4763","144","1","20258","4796","200"
"Albert Park (Southern Metropolitan)","VIC","14081","17777","11.3","1591","218","9","7145","8468","2164"
"Albury","NSW","40484","171103","40.1","16221","944","12","88742","27231","55130"
"Algester","QLD","23552","102863","61.9","14590","592","12","77108","17030","8725"
"Altona (Western Metropolitan)","VIC","38820","68491","29.2","11349","273","3","55564","10778","2149"
"Arafura","NT","1497","5968","13.0","194","36","5","1349","1356","3263"
"Araluen","NT","4663","11597","33.5","1561","86","1","7882","3438","277"
"Armadale (East Metropolitan)","WA","23400","68055","54.9","12839","180","1","62465","5350","240"
"Arnhem","NT","2526","12828","6.8","172","57","6","1160","2170","9498"
"Aspley","QLD","21490","60548","47.3","10166","303","3","50933","8337","1278"
"Auburn","NSW","21779","48908","23.6","5136","477","10","27492","18290","3126"
"Badcoe","SA","13720","45239","45.3","6219","369","5","30954","10706","3579"
"Balcatta (North Metropolitan)","WA","19245","42827","32.2","6196","361","2","29629","12593","605"
"Baldivis (South Metropolitan)","WA","25992","81240","62.6","16264","141","1","77088","3985","167"
"Ballina","NSW","36833","127571","56.1","20662","950","5","103616","22797","1158"
"Balmain","NSW","22674","20278","14.4","3261","142","1","15606","4522","150"
"Bancroft","QLD","24387","78746","52.3","12757","370","9","65213","9594","3939"
"Bankstown","NSW","21474","40222","24.3","5226","323","3","28626","9790","1806"
"Barkly","NT","4505","6688","11.1","499","82","2","3085","2872","731"
"Barron River","QLD","22451","82063","49.1","11017","595","1","67023","14634","406"
"Barwon","NSW","36258","419375","57.8","20946","1387","9","97527","32339","289509"
"Bass (Eastern Victoria)","VIC","53949","115971","32.5","17525","588","9","94554","18047","3370"
"Bass (Launceston)","TAS","13931","18503","19.9","2779","115","0","14063","4440","0"
"Bass (McIntyre)","TAS","4826","8013","22.0","1060","40","1","4742","1271","2000"
"Bass (Rosevears)","TAS","11199","16861","23.5","2636","84","3","13335","2879","647"
"Bass (Windermere)","TAS","17385","32141","21.4","3728","139","2","18462","4861","8818"
"Bassendean (East Metropolitan)","WA","16765","38671","44.1","7396","130","3","33198","5034","439"
"Bateman (South Metropolitan)","WA","14447","38405","46.4","6710","172","2","32838","5274","293"
"Bathurst","NSW","36055","106011","33.8","12173","755","12","69730","19677","16604"
"Baulkham Hills","NSW","26905","76256","39.4","10589","476","5","64018","10578","1660"
"Bayswater (Eastern Metropolitan)","VIC","26543","47858","25.0","6644","386","9","31879","13571","2408"
"Bega","NSW","41499","91251","38.4","15922","474","3","77353","13214","684"
"Bellarine (Western Victoria)","VIC","39256","70607","29.8","11714","315","3","58432","8928","3247"
"Belmont (East Metropolitan)","WA","20352","45523","35.6","7241","260","5","34168","9972","1383"
"Benambra (Northern Victoria)","VIC","30990","93499","43.4","13456","603","10","70691","17286","5522"
"Bendigo East (Northern Victoria)","VIC","30191","82126","34.7","10474","437","10","51986","13529","16611"
"Bendigo West (Northern Victoria)","VIC","30311","64209","35.7","10810","370","7","50026","11208","2975"
"Bentleigh (Southern Metropolitan)","VIC","22437","31191","21.2","4765","195","3","24348","6083","760"
"Bicton (South Metropolitan)","WA","15937","31571","36.8","5865","117","0","27868","3703","0"
"Black","SA","14900","53066","62.0","9239","358","0","43400","9666","0"
"Blacktown","NSW","31184","72932","35.8","11151","401","5","56676","14144","2112"
"Blain","NT","3732","10687","42.5","1587","25","0","9568","1119","0"
"Blue Mountains","NSW","32531","67670","35.8","11636","382","1","58523","8998","149"
"Bonney","QLD","16646","50979","44.9","7469","414","4","37320","12031","1628"
"Box Hill (Eastern Metropolitan)","VIC","25688","29728","20.1","5160","143","0","25404","4324","0"
"Braddon (Mersey)","TAS","14548","17474","18.6","2700","100","2","13473","3231","770"
"Braddon (Montgomery)","TAS","15507","18739","19.9","3084","99","0","15747","2992","0"
"Braddon (Murchison)","TAS","19479","23107","17.4","3389","154","4","17663","4780","664"
"Bragg","SA","14246","50717","48.5","6915","595","1","38679","11881","157"
"Braitling","NT","4427","10543","30.4","1347","71","2","6917","2826","800"
"Brennan","NT","3425","10470","44.5","1523","17","1","9272","790","408"
"Brighton (Southern Metropolitan)","VIC","19159","23663","19.2","3685","186","0","19328","4335","0"
"Brindabella","ACT","27043","106771","41.0","11076","279","4","68105","6705","31961"
"Broadmeadows (Northern Metropolitan)","VIC","27564","65033","24.5","6765","563","17","35530","20966","8537"
"Broadwater","QLD","19523","69890","52.8","10316","630","3","54881","12978","2031"
"Brunswick (Northern Metropolitan)","VIC","23802","26374","17.9","4258","212","4","18611","6415","1348"
"Buderim","QLD","18203","71021","64.9","11822","410","4","57651","10055","3315"
"Bulimba","QLD","19621","62227","41.4","8113","515","6","45659","13960","2608"
"Bulleen (Eastern Metropolitan)","VIC","24970","32923","21.7","5429","171","2","28135","4290","498"
"Bunbury (South West)","WA","19086","40037","39.8","7593","183","0","34300","5737","0"
"Bundaberg","QLD","21300","74962","58.3","12424","431","6","59932","12032","2998"
"Bundamba","QLD","28040","81742","45.7","12815","310","7","69284","8820","3638"
"Bundoora (Northern Metropolitan)","VIC","23138","33372","24.2","5590","130","5","26179","4100","3093"
"Buninyong (Western Victoria)","VIC","29264","58601","29.7","8703","394","5","45508","11202","1891"
"Burdekin","QLD","27749","986071","33.4","9262","945","16","52314","27722","906035"
"Burleigh","QLD","16418","56484","52.9","8686","396","3","44285","9786","2413"
"Burnett","QLD","24055","152650","55.5","13353","427","4","65525","11166","75959"
"Burns Beach (North Metropolitan)","WA","17531","52439","60.4","10581","74","2","49629","2255","555"
"Burwood (Southern Metropolitan)","VIC","24175","30424","20.9","5051","150","2","24908","4471","1045"
"Butler (North Metropolitan)","WA","27645","79870","57.9","15999","97","3","75986","3272","612"
"Cabramatta","NSW","23763","51105","33.1","7865","321","2","41820","8890","395"
"Cairns","QLD","18550","72387","44.2","8205","688","8","47453","19629","5305"
"Callide","QLD","24759","1573158","39.5","9789","556","12","48817","16023","1508318"
"Caloundra","QLD","21075","83898","67.5","14230","411","6","71453","10240","2205"
"Camden","NSW","49568","169694","39.2","19453","1268","13","133527","29565","6602"
"Campbelltown","NSW","28881","70009","37.5","10820","352","3","59256","8615","2138"
"Cannington (South Metropolitan)","WA","19672","47308","45.9","9030","121","8","39438","4545","3325"
"Canterbury","NSW","21529","30402","20.4","4401","195","4","23828","5276","1298"
"Capalaba","QLD","19731","64496","62.3","12295","299","3","56645","6979","872"
"Carine (North Metropolitan)","WA","15455","38911","50.5","7806","57","0","37340","1571","0"
"Carrum (South-Eastern Metropolitan)","VIC","31263","59840","29.7","9275","335","8","43942","11768","4130"
"Castle Hill","NSW","30921","114325","44.7","13809","991","5","90433","21916","1976"
"Casuarina","NT","3072","10043","37.8","1160","32","3","6761","1543","1739"
"Caulfield (Southern Metropolitan)","VIC","19449","21246","16.2","3155","158","2","17008","3810","428"
"Central Wheatbelt (Agricultural)","WA","19692","191333","40.1","7888","350","6","36750","8798","145785"
"Cessnock","NSW","35658","106232","39.6","14129","614","9","83878","15365","6989"
"Chaffey","SA","18547","130086","49.6","9193","773","71","48353","20939","60794"
"Charlestown","NSW","29793","60967","30.9","9203","303","4","50252","8424","2291"
"Chatsworth","QLD","18536","61163","52.2","9668","452","0","50865","10298","0"
"Cheltenham","SA","16741","52098","41.8","6989","466","5","35829","15226","1043"
"Churchlands (North Metropolitan)","WA","13977","31935","37.6","5262","112","5","27272","3046","1617"
"Clarence","NSW","35347","106730","49.6","17529","643","4","88516","17114","1100"
"Clarinda (South-Eastern Metropolitan)","VIC","27292","44783","21.1","5770","335","7","28400","12553","3830"
"Clayfield","QLD","13713","61110","40.2","5517","610","10","31756","21362","7992"
"Cockburn (South Metropolitan)","WA","18846","56369","53.8","10138","194","3","48498","6653","1218"
"Coffs Harbour","NSW","31908","94033","46.4","14793","520","9","74620","15651","3762"
"Collie-Preston (South West)","WA","19254","52716","53.7","10348","223","1","46360","6126","230"
"Colton","SA","14349","46336","50.4","7233","323","3","37792","6807","1737"
"Condamine","QLD","22030","339151","47.2","10392","703","5","53740","16995","268416"
"Coogee","NSW","13539","20614","21.6","2931","137","0","16907","3707","0"
"Cook","QLD","22619","74174","26.6","6022","754","7","33594","19742","20838"
"Coomera","QLD","32174","119149","48.3","15535","745","15","91953","18052","9144"
"Cooper","QLD","16931","53925","47.5","8038","371","2","43996","8878","1051"
"Cootamundra","NSW","35007","692612","38.4","13442","945","14","74262","23669","594681"
"Cottesloe (North Metropolitan)","WA","13911","33173","37.3","5188","192","5","27259","4371","1543"
"Cranbourne (South-Eastern Metropolitan)","VIC","52438","131342","41.9","21958","313","2","120960","9845","537"
"Cronulla","NSW","22053","44476","25.1","5546","335","3","34738","8541","1197"
"Croydon","SA","15356","54924","42.9","6592","467","10","32975","15960","5989"
"Croydon (Eastern Metropolitan)","VIC","24857","36646","24.8","6163","175","4","29878","5318","1450"
"Currumbin","QLD","15114","51577","55.4","8369","385","2","41668","9023","886"
